about_sale_date,name,data_id,author,like,url,category,about_polygon,body,chest,kemomimi,tail,horn,wing,elfmimi,hairo,robo
2022/02/26,桔梗,kikyo,ポンデロニウム研究所,21118,https://booth.pm/ja/items/3681787,少女,108686,中,大,,,,,,,
2022/1/1,カリン,karin,あまとうさぎ,18627,https://booth.pm/ja/items/3470989,少女,46414,小,小,o,o,,,,,
2023/8/31,マヌカ,manuka,STUDIO JINGO,19100,https://booth.pm/ja/items/5058077,少女,117236,中,小,o,o,,,,,
2021/10/31,舞夜,maya,キュビクローゼット,17599,https://booth.pm/ja/items/3390957,少女,69117,中,中,,,,,,,
2022/12/23,まめひなた,mamehinata,もち山金魚,17813,https://booth.pm/ja/items/4340548,ちびキャラ,57939,小,小,,,,,,,
2022/7/28,セレスティア,selestia,STUDIO JINGO,16725,https://booth.pm/ja/items/4035411,少女,107161,中,大,,,,,,,
2019/7/31,幽狐族のお姉様,yukozokunoojyosama,FRIENDLY PLANET,16103,https://booth.pm/ja/items/1484117,少女,,小,小,,,,,,,
2021/1/1,ラスク,rusk,あまとうさぎ,15041,https://booth.pm/ja/items/2559783,少女,29841,小,小,o,o,,,,,
2022/8/29,ゾメちゃん,zomechan,Yorshka Shop,15144,https://booth.pm/ja/items/4118550,少女,65804,小,小,,,o,,,,
2021/11/20,竜胆,rindo,STUDIO JINGO,13704,https://booth.pm/ja/items/3443188,少女,117224,中,中,o,o,,,,,
2023/04/13,萌,moe,キュビクローゼット,13821,https://booth.pm/ja/items/4667400,少女,112374,中,中,o,o,,,,,
2023/4/26,生駒ミル,ikomamiru,RiBLA Laboratory売店,13742,https://booth.pm/ja/items/3521047,少女,67537,中,大,,,,,,,
2022/3/25,RadDollV2,raddollv2,三丁目の魔界,13031,https://booth.pm/ja/items/3741802,少女,87144,中,小,o,o,,,,,
2021/09/04,アッシュ ,ash,ぷらすわん,12167,https://booth.pm/ja/items/3234473,少女,78936,小,小,o,o,,,,,
2020/7/14,薄荷,hakka,mio3io,11348,https://booth.pm/ja/items/2215270,少女,33000,中,中,o,o,,,,,
2023/4/30,森羅,shinra,mio3io,11627,https://booth.pm/ja/items/4707634,少女,69000,大,中,,,,,,,
2020/11/29,狐雪,koyuki,キュビクローゼット,10655,https://booth.pm/ja/items/2554585,少女,55918,中,小,o,o,,,,,
