about_sale_date,name,data_id,author,like,url,category,about_polygon,body(目測),chest(目測),kemomimi,tail,horn,wing,elfmimi,hairo,robo
2024/03/08,玲來,reira,大丸・松坂屋アバター販売公式,790,https://dm-avatar.booth.pm/items/5548161,少女,,大,小,,,,,,,
2024/03/08,零韻,rein,大丸・松坂屋アバター販売公式,311,https://dm-avatar.booth.pm/items/5548131,少年,,大,中,,,,,,,
2024/02/02,愛結華,ayuka,大丸・松坂屋アバター販売公式,137,https://dm-avatar.booth.pm/items/5444802,少女,,大,小,,,,,,,
2024/02/02,璃空,riku,大丸・松坂屋アバター販売公式,201,https://dm-avatar.booth.pm/items/5444815,少年,,大,小,,,,,,,
2024/02/02,妃白,hishiro,大丸・松坂屋アバター販売公式,196,https://dm-avatar.booth.pm/items/5444845,少女,,大,小,,,,,,,
2024/02/02,湊渚,mio,大丸・松坂屋アバター販売公式,804,https://dm-avatar.booth.pm/items/5444845,少女,,大,小,,,,,,,
2024/02/09,紅遠,kuon,大丸・松坂屋アバター販売公式,340,https://dm-avatar.booth.pm/items/5482627,少女,,大,小,,,,,,,
2023/10/17,彩千華,sachika,大丸・松坂屋アバター販売公式,142,https://dm-avatar.booth.pm/items/5145028,少女,,大,小,,,,,,,
2023/10/17,鳳蝶,ageha,大丸・松坂屋アバター販売公式,127,https://dm-avatar.booth.pm/items/5145016,少年,,大,中,,,,,,,
2023/10/17,風璃,furi,大丸・松坂屋アバター販売公式,373,https://dm-avatar.booth.pm/items/5070455,少女,,大,小,,,,,,,
2023/10/17,龍青,ryusei,大丸・松坂屋アバター販売公式,126,https://dm-avatar.booth.pm/items/5123421,少年,,大,中,,,,,,,
2023/10/17,瑚紅姫,cocohime,大丸・松坂屋アバター販売公式,380,https://dm-avatar.booth.pm/items/5144973,少女,,大,小,,,,,,,
